                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5708,                 5.5541,                 3.4721,                 2.1051,                0.24438,                0.30714,                0.18023,                0.06627,                0.17235,                0.21981,                0.09284,                 0.0295,                  2.194,                 5.1998,                 3.5879,                 1.9496,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.6905,                 3.1406,                 1.8085,                 1.4202,                0.65506,                0.51673,                0.55485,                0.28253,                0.53545,                0.41849,                0.39895,                0.11733,                 1.6391,                 4.3663,                   1.94,                 1.4685,              0.0003466,              0.0003466,              0.0003466
                      3,                 1.5567,                  2.895,                 1.6286,                 1.3808,                0.53693,                0.40428,                0.41693,                0.24017,                0.41638,                0.28868,                0.26585,                0.08499,                 1.5985,                 7.7651,                 4.4818,                 1.4819,             0.00052288,             0.00052288,             0.00052288
                      4,                 1.5173,                 2.6823,                 1.5611,                 1.3709,                0.46242,                0.50093,                0.45457,                0.21934,                0.21173,                 0.2214,                0.11117,                0.02415,                  1.753,                 8.9741,                 6.6783,                 1.6097,             0.00069552,             0.00069552,             0.00069552
                      5,                 1.5819,                 2.8085,                 1.5349,                 1.3613,                0.40479,                0.47209,                0.39228,                0.16937,                0.30963,                0.33376,                0.23648,                0.06609,                 1.8447,                 4.3067,                 5.3058,                 1.6974,             0.00086453,             0.00086453,             0.00086453
                      6,                 1.5415,                 2.6706,                 1.5235,                 1.3511,                0.44092,                0.58794,                0.46759,                0.24418,                0.29533,                0.41126,                 0.2504,                0.06251,                 1.6465,                 5.1823,                 5.5485,                 1.5432,              0.0010299,              0.0010299,              0.0010299
                      7,                 1.4953,                 2.6681,                 1.4251,                 1.3288,                0.47793,                0.48819,                0.43811,                0.20897,                 0.1699,                 0.2156,                 0.0976,                0.02654,                 1.8892,                 8.6142,                 4.6074,                 1.5904,              0.0011917,              0.0011917,              0.0011917
                      8,                 1.4837,                 2.6182,                  1.434,                 1.3264,                0.51099,                0.58602,                0.51279,                0.25589,                0.38887,                0.43199,                0.29646,                0.06926,                 1.7178,                 6.0147,                  3.629,                 1.5157,              0.0013498,              0.0013498,              0.0013498
                      9,                  1.529,                 2.5857,                 1.4067,                 1.3428,                0.37043,                 0.3742,                0.29559,                0.13379,                 0.3358,                0.22382,                0.17697,                0.04201,                 1.9852,                 5.6132,                 3.4502,                 1.8436,              0.0015043,              0.0015043,              0.0015043
                     10,                 1.4547,                 2.4637,                 1.3744,                 1.3403,                0.56867,                0.47742,                0.36868,                0.17775,                0.47498,                0.36528,                0.24249,                0.07008,                 1.9411,                 4.2405,                 5.0485,                 1.8591,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4704,                 2.5421,                 1.3606,                 1.3212,                0.64621,                0.48324,                0.46925,                0.23553,                0.53795,                0.37258,                0.34255,                0.11299,                 1.7114,                 3.5359,                 2.3506,                 1.5824,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.4616,                 2.4806,                 1.2836,                 1.3038,                0.54539,                0.54637,                0.48363,                 0.2345,                 0.5406,                0.48533,                0.44644,                0.16299,                 1.7526,                 2.8556,                 2.0053,                 1.6416,               0.001502,               0.001502,               0.001502
                     13,                 1.4463,                 2.4143,                 1.2681,                 1.3085,                0.54085,                0.50859,                0.50934,                0.26994,                0.51297,                0.42973,                0.41735,                0.16298,                 1.6438,                 3.0533,                 2.3577,                 1.5447,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.5173,                 2.5809,                 1.3468,                 1.3827,                0.68207,                0.57632,                0.61096,                0.30002,                0.65702,                0.55096,                 0.5553,                0.23071,                 1.6587,                 2.7612,                 1.4311,                 1.5247,               0.001469,               0.001469,               0.001469
                     15,                 1.4555,                 2.4459,                 1.2702,                  1.312,                0.64056,                0.59876,                0.63476,                0.34545,                0.70273,                0.50915,                0.55788,                 0.2676,                 1.4393,                 2.4945,                 1.3536,                 1.3496,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.3511,                 2.3126,                 1.2042,                 1.2705,                0.69169,                0.65758,                0.65658,                0.37458,                0.66481,                0.60054,                0.58725,                 0.2888,                 1.3886,                 2.6762,                 1.4387,                 1.3439,               0.001436,               0.001436,               0.001436
                     17,                 1.3849,                 2.3765,                 1.2329,                  1.292,                0.55049,                0.44324,                 0.4449,                0.19026,                0.40204,                0.36597,                0.28324,                0.08947,                 2.0186,                 4.1434,                 2.3081,                 1.7311,              0.0014195,              0.0014195,              0.0014195
                     18,                  1.386,                 2.4145,                 1.2467,                 1.2965,                0.65423,                0.58275,                0.61153,                0.30393,                0.53444,                0.48791,                0.43763,                0.12196,                 1.6458,                 4.5097,                 1.6538,                 1.5308,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.3652,                 2.2673,                 1.1895,                 1.2852,                0.72349,                0.59967,                0.63735,                 0.3333,                0.67263,                0.55772,                0.55809,                0.23183,                 1.5051,                 3.0701,                 1.4042,                 1.3923,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.3329,                 2.2598,                 1.1629,                  1.273,                0.72866,                0.54493,                0.62244,                0.35445,                0.59659,                 0.5281,                0.51333,                 0.2313,                 1.3972,                  2.814,                 1.3121,                 1.3478,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.2985,                 2.1906,                 1.1193,                  1.244,                0.74543,                0.63201,                0.65117,                0.36991,                0.68573,                0.57577,                0.57582,                0.28489,                  1.351,                 2.5769,                 1.2079,                 1.3233,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.3148,                 2.2285,                 1.1632,                 1.2333,                0.66647,                0.59201,                0.64077,                0.35935,                0.63817,                0.55096,                0.58317,                 0.2456,                 1.4287,                 2.7219,                 1.4285,                 1.3501,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.3171,                 2.1691,                 1.1051,                 1.2443,                0.66613,                0.57522,                0.62574,                0.34471,                0.66644,                0.49132,                0.55679,                0.23411,                 1.5017,                 2.9057,                 1.4147,                 1.4185,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.3669,                 2.3129,                  1.158,                 1.2722,                0.66218,                0.59626,                0.61855,                0.34697,                0.59833,                0.58168,                0.57476,                0.24573,                 1.4776,                 2.6256,                 1.4827,                 1.3941,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.2973,                  2.175,                   1.13,                 1.2306,                0.69035,                0.64015,                0.68539,                0.42229,                0.73111,                0.58512,                0.62308,                0.28955,                  1.238,                 2.8158,                 1.1166,                 1.2678,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.3393,                 2.2001,                 1.1406,                 1.2564,                0.65528,                 0.6389,                0.63567,                0.34482,                0.64677,                0.57772,                0.57831,                0.23187,                 1.5046,                 2.9925,                 1.2091,                 1.4159,              0.0012709,              0.0012709,              0.0012709
