                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3036,                  2.229,                 1.1718,                   1.24,                0.84673,                0.37338,                0.43186,                0.22867,                 0.8007,                 0.3377,                0.38135,                0.16498,                 1.4205,                 2.5737,                 1.4628,                 1.4018,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.2738,                 2.2089,                 1.1626,                 1.2323,                0.43925,                0.36393,                0.39569,                 0.2128,                0.42889,                0.35077,                0.36817,                0.16384,                 1.4445,                 2.5737,                 1.3783,                 1.4277,              0.0011036,              0.0011036,              0.0011036
                     26,                  1.261,                 2.1606,                 1.1381,                 1.2211,                0.51649,                0.43852,                 0.3949,                0.22429,                0.49472,                0.41186,                0.34493,                0.16099,                  1.396,                 2.5208,                  1.411,                 1.3814,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.2237,                 2.1372,                 1.0874,                 1.2083,                0.54653,                0.47897,                0.47391,                0.25889,                0.51202,                0.44821,                0.42255,                0.20232,                 1.3461,                 2.3963,                 1.1374,                 1.3369,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.2367,                 2.1436,                 1.0764,                 1.2091,                0.83815,                0.34039,                0.45944,                0.25983,                0.37205,                0.51591,                0.45049,                0.18867,                 1.3792,                 2.6244,                  1.411,                 1.3474,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.1795,                  2.068,                 1.0167,                  1.189,                0.80687,                0.34848,                0.37313,                 0.2047,                0.74396,                0.30408,                 0.3366,                0.14217,                  1.477,                  2.538,                 1.6425,                 1.3766,               0.001047,               0.001047,               0.001047
                     30,                 1.2104,                 2.1302,                 1.0581,                  1.206,                0.59738,                 0.5698,                0.47704,                0.26958,                0.59746,                0.54495,                0.44619,                0.19329,                 1.2484,                 2.3066,                  1.143,                 1.2582,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.2008,                 2.1112,                 1.0726,                 1.2197,                0.45267,                 0.4702,                0.45873,                0.25935,                0.44108,                0.43416,                0.41762,                0.19556,                 1.2731,                 2.2232,                 1.1657,                 1.2776,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.2189,                 2.1146,                 1.0554,                 1.2158,                0.86813,                0.44232,                0.51144,                0.30361,                0.79987,                0.44011,                0.43261,                0.22182,                 1.2228,                  2.189,                 1.1582,                 1.2413,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.1902,                 2.0596,                 1.0163,                 1.1987,                0.43736,                0.60703,                0.54168,                0.29897,                0.81772,                0.40991,                0.44304,                0.22821,                 1.3439,                 2.1829,                 1.1149,                 1.2734,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.2262,                 2.1111,                 1.0356,                 1.1918,                0.65855,                0.49918,                0.55129,                0.30841,                0.63309,                0.47692,                0.49733,                0.22613,                 1.2703,                 2.3182,                 1.1017,                   1.28,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.2345,                 2.1155,                 1.0452,                 1.2006,                0.46771,                 0.4519,                0.46604,                0.28862,                0.47109,                0.42143,                0.43538,                0.21948,                 1.1486,                 2.1899,                 1.0717,                 1.2248,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.1825,                 1.9864,                0.99914,                 1.1651,                0.84937,                0.47245,                0.50194,                0.29522,                0.83021,                0.42784,                0.46192,                0.19122,                 1.2897,                 2.4242,                 1.0236,                 1.2456,               0.000948,               0.000948,               0.000948
                     37,                 1.1702,                   1.94,                 0.9755,                  1.161,                0.83456,                0.41995,                 0.4635,                0.25288,                0.77318,                 0.3996,                0.41068,                 0.1543,                  1.425,                 2.7097,                 1.2013,                 1.3211,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.1667,                 1.9966,                0.98688,                 1.1699,                0.79714,                0.42709,                0.46014,                0.25487,                0.76205,                0.39427,                0.42398,                0.15427,                 1.5091,                 2.6898,                 1.1217,                 1.3413,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.1523,                 2.0532,                 1.0179,                 1.1674,                0.48183,                0.48247,                0.49021,                0.29433,                0.46795,                0.42524,                0.44934,                0.21058,                 1.2768,                 2.2687,                 1.0625,                 1.2584,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.1263,                  1.868,                 0.9398,                 1.1361,                0.47175,                0.65201,                0.51786,                0.30699,                0.46476,                0.59845,                0.48216,                0.22163,                 1.3364,                 2.2794,                 1.0311,                 1.2787,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.1363,                 1.9613,                0.95385,                 1.1593,                0.53219,                0.53192,                0.50186,                0.29236,                0.50865,                0.50816,                0.46124,                 0.2186,                 1.3879,                  2.504,                 1.1445,                  1.301,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.2157,                 2.0264,                0.99026,                 1.1885,                0.86378,                0.44229,                0.48882,                0.28071,                0.49311,                0.42789,                0.42304,                0.20875,                 1.3441,                 2.4167,                 1.0815,                 1.2636,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.1649,                 1.9439,                0.98879,                  1.168,                0.81006,                0.45153,                0.48801,                0.28876,                 0.7883,                0.43114,                0.43017,                0.19743,                  1.244,                 2.3823,                0.99207,                 1.2184,             0.00084897,             0.00084897,             0.00084897
                     44,                  1.123,                 1.9514,                0.94987,                 1.1517,                0.41101,                0.52549,                0.46006,                0.27709,                0.38823,                0.50637,                0.40481,                0.21039,                 1.2832,                 2.3156,                 1.0152,                  1.235,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.1303,                 1.8862,                0.92395,                 1.1389,                0.79428,                0.47948,                0.46967,                0.28031,                0.76473,                0.44758,                0.41808,                0.19931,                 1.2213,                 2.2957,                 1.0441,                 1.2315,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.1821,                 2.0458,                 1.0143,                 1.1738,                0.44386,                0.55336,                0.51623,                0.28452,                0.39078,                0.53007,                0.43243,                0.21785,                 1.2977,                 2.1251,                 1.0498,                 1.2951,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.1318,                 1.8905,                0.94999,                 1.1538,                0.47719,                0.47945,                0.51463,                0.30837,                0.45833,                0.46101,                0.45531,                0.24176,                 1.1818,                 2.0578,                 1.0039,                 1.2443,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.1174,                 1.8267,                0.94638,                 1.1406,                0.82713,                0.45877,                0.53515,                0.31347,                0.77093,                0.43395,                0.47436,                0.24738,                 1.2069,                 2.0746,                 0.9949,                 1.2236,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.1393,                 1.8969,                0.93802,                 1.1445,                0.55354,                0.54513,                0.51262,                0.29093,                0.53563,                0.52158,                0.46698,                0.23357,                 1.2853,                 2.0312,                0.98731,                 1.2275,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.1463,                 1.9209,                0.96762,                 1.1483,                0.51889,                0.50626,                0.46808,                0.26893,                0.50133,                0.48842,                0.42821,                0.22261,                 1.3194,                 2.0969,                 1.0257,                 1.2665,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.1153,                 1.8701,                0.93516,                  1.139,                 0.4837,                 0.4918,                0.42954,                0.25973,                0.45687,                0.47015,                0.39368,                0.20119,                 1.2554,                  2.219,                  1.137,                 1.2859,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.1223,                 1.9335,                0.95936,                 1.1499,                0.78504,                  0.448,                0.48609,                0.29526,                0.79634,                0.41079,                0.44213,                0.22992,                 1.1887,                 2.1373,                 0.9489,                  1.267,             0.00072164,             0.00072164,             0.00072164
